rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",1,1,49,"5483445"
2,"spotify:track:2HafqoJbgXdtjwCOvNEF14","iñigo quintero","Si No Estás","Acqustic",1,3,39,"5296773"
3,"spotify:track:1Iq8oo9XkmmvCQiGOfORiz","Taylor Swift","Is It Over Now? (Taylor's Version) (From The Vault)","Taylor Swift",1,2,7,"5175170"
4,"spotify:track:7x9aauaA9cu6tyfpHnqDLo","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,8,112,"4833604"
5,"spotify:track:56y1jOTK0XSvJzVv9vHQBK","Doja Cat","Paint The Town Red","Kemosabe Records/RCA Records",1,4,91,"4562022"
6,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",2,6,270,"4472245"
7,"spotify:track:7iQXYTyuG13aoeHxGG28Nh","Bad Bunny, Feid","PERRO NEGRO","Rimas Entertainment LLC",3,5,21,"4403434"
8,"spotify:track:4MjDJD8cW7iVeWInc2Bdyj","Bad Bunny","MONACO","Rimas Entertainment LLC",1,9,21,"4342383"
9,"spotify:track:5KD6AEm19QnMbfWpfoOHMl","Taylor Swift","Now That We Don't Talk (Taylor's Version) (From The Vault)","Taylor Swift",2,7,7,"4209179"
10,"spotify:track:5mjYQaktjmjcMKcUIcqz4s","Kenya Grace","Strangers","Warner Records/Major Recordings",3,12,63,"3799489"
11,"spotify:track:3vkCueOmm7xQDoJ17W1Pm3","Mitski","My Love Mine All Mine","Dead Oceans",9,10,45,"3787743"
12,"spotify:track:71BqAINEnezjQfxE4VuJfq","Taylor Swift","""Slut!"" (Taylor's Version) (From The Vault)","Taylor Swift",2,11,7,"3520594"
13,"spotify:track:5aIVCx5tnk0ntmdiinnYvw","Tyla","Water","FAX Records/Epic",10,14,45,"3392631"
14,"spotify:track:4NioO5R9sHEZh4cGzMHyNt","Taylor Swift","Say Don't Go (Taylor's Version) (From The Vault)","Taylor Swift",4,13,7,"3311389"
15,"spotify:track:5RqSsdzTNPX1uzkmlHCFvK","KAROL G, Peso Pluma","QLONA","Bichota/Interscope Records",4,15,84,"3127612"
16,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",1,16,35,"3038995"
17,"spotify:track:3cDyocF0Ibdfs1SFQk5cLZ","Darell","Lollipop","Sony Music Latin",16,18,25,"2860565"
18,"spotify:track:6CvTEtGagmzQvkUzzyKR9k","Fuerza Regida, Marshmello","HARLEY QUINN","Rancho Humilde/Street Mob Records",18,20,8,"2850751"
19,"spotify:track:6uIIdjYTxxpWOyWuVXrKQO","Calle 24, Chino Pacas, Fuerza Regida","Que Onda","Street Mob Records - Rancho Humilde",15,17,63,"2822955"
20,"spotify:track:7ABLbnD53cQK00mhcaOUVG","Myke Towers","LALA","WEA Latina",1,21,128,"2703261"
21,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",12,23,484,"2637062"
22,"spotify:track:5PyDJG7SQRgWXefgexqIge","Doja Cat","Agora Hills","Kemosabe Records/RCA Records",21,24,42,"2629151"
23,"spotify:track:1hjRhYpWyqDpPahmSlUTlc","Taylor Swift","Style (Taylor's Version)","Taylor Swift",1,19,7,"2618140"
24,"spotify:track:4bw8mcDUSRWfQo63ZTYRnU","Maluma, Carin Leon","Según Quién","Sony Music Latin",16,26,50,"2478227"
25,"spotify:track:6T0sEnqjmHISIKwFETeeiP","Taylor Swift","Suburban Legends (Taylor's Version) (From The Vault)","Taylor Swift",9,22,7,"2459711"
26,"spotify:track:2YSzYUF3jWqb9YP9VXmpjE","Drake, Yeat","IDGAF (feat. Yeat)","OVO/Republic",3,27,28,"2444334"
27,"spotify:track:1kuGVB7EU95pJObxwvfwKS","Olivia Rodrigo","vampire","Olivia Rodrigo PS",1,25,126,"2402268"
28,"spotify:track:1odExI7RdWc4BT515LTAwj","David Kushner","Daylight","Miserable Music Group, LLC",4,32,203,"2378752"
29,"spotify:track:7mXuWTczZNxG5EDcjFEuJR","Peso Pluma, Gabito Ballesteros, Junior H","LADY GAGA","Double P Records",6,30,133,"2358035"
30,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",1,34,1124,"2295158"
31,"spotify:track:59NraMJsLaMCVtwXTSia8i","cassö, RAYE, D-Block Europe","Prada","Ministry of Sound Recordings",16,39,77,"2287903"
32,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,33,582,"2286437"
33,"spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q","Billie Eilish","What Was I Made For? [From The Motion Picture ""Barbie""]","Darkroom/Interscope Records",2,36,113,"2273581"
34,"spotify:track:45wMBGri1PORPjM9PwFfrS","Taylor Swift","Blank Space (Taylor's Version)","Taylor Swift",3,28,7,"2271216"
35,"spotify:track:1vYXt7VSjH9JIM5oRRo7vA","Dua Lipa","Dance The Night - From Barbie The Album","Atlantic Records",4,37,161,"2240431"
36,"spotify:track:1K39ty6o1sHwwlZwO6a7wK","Taylor Swift","Wildest Dreams (Taylor's Version)","Taylor Swift",12,31,79,"2208083"
37,"spotify:track:4rXLjWdF2ZZpXCVTfWcshS","Gunna","fukumean","300 Entertainment",6,40,138,"2200318"
38,"spotify:track:0rKWJnmo6Q0ovoPOLoLm0t","The Kid LAROI, Jung Kook, Central Cee","TOO MUCH","Columbia",10,38,14,"2195820"
39,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",1,29,329,"2188516"
40,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",13,43,70,"2104753"
41,"spotify:track:045ZeOHPIzhxxsm8bq5kyE","Taylor Swift","Out Of The Woods (Taylor's Version)","Taylor Swift",8,35,7,"2093823"
42,"spotify:track:4vziJcnB2Qyi9o4nIRUeN7","The Beatles","Now And Then","UMC (Universal Music Catalogue)",42,-1,1,"2063311"
43,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",11,44,932,"2033554"
44,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",9,42,638,"1990973"
45,"spotify:track:3hRV0jL3vUpRrcy398teAU","Lord Huron","The Night We Met","IAMSOUND",45,49,458,"1979959"
46,"spotify:track:6XbtvPmIpyCbjuT0e8cQtp","Quevedo","Columbia","Quevedo",5,47,119,"1971429"
47,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",19,48,1165,"1969689"
48,"spotify:track:3FvTHuefYV6TxE3Kseqno8","Gabito Ballesteros, Natanael Cano","LOU LOU","Los CT Records",45,45,14,"1942327"
49,"spotify:track:1hR8BSuEqPCCZfv93zzzz9","Taylor Swift","Welcome To New York (Taylor's Version)","Taylor Swift",6,41,7,"1939694"
50,"spotify:track:3nNmRE0DxHC6ZaKkrpUumS","Bad Bunny, Young Miko","FINA","Rimas Entertainment LLC",3,46,21,"1938210"
51,"spotify:track:0O3U5iwTbiXCREMkvotJuN","Grupo Frontera, Grupo Firme","EL AMOR DE SU VIDA","Grupo Frontera",45,55,91,"1867633"
52,"spotify:track:0bYg9bo50gSsH3LtXe2SQn","Mariah Carey","All I Want for Christmas Is You","Columbia",1,50,351,"1810481"
53,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",1,56,378,"1800817"
54,"spotify:track:0mflMxspEfB0VbI1kyLiAv","Noah Kahan","Stick Season","Mercury Records/Republic Records",54,64,24,"1788128"
55,"spotify:track:1dGr1c8CrMLDpV6mPbImSI","Taylor Swift","Lover","Taylor Swift",2,60,281,"1780157"
56,"spotify:track:3Ua0m0YmEjrMi9XErKcNiR","Jimin","Like Crazy","BIGHIT MUSIC",1,54,223,"1760794"
57,"spotify:track:2vPMoMDXxu9uX1igWZmXSG","Taylor Swift","New Romantics (Taylor's Version)","Taylor Swift",15,51,7,"1739790"
58,"spotify:track:7DSAEUvxU8FajXtRloy8M0","Miley Cyrus","Flowers","Columbia",1,59,294,"1735342"
59,"spotify:track:0ug5NqcwcFR2xrfTkc7k8e","Taylor Swift","Style","Big Machine Records, LLC",12,61,237,"1733113"
60,"spotify:track:6GXgd1BPD9bUpqw5AntGV5","Taylor Swift","All You Had To Do Was Stay (Taylor's Version)","Taylor Swift",10,52,7,"1719085"
61,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",25,65,319,"1717742"
62,"spotify:track:5h1BN75CEh8wdSwE1xrbSe","V","Slow Dancing","BIGHIT MUSIC",10,89,56,"1717135"
63,"spotify:track:5Eh1nj7IjV9lwpcKAkidyY","Troye Sivan","One Of Your Girls","EMI Recorded Music Australia Pty Ltd",25,69,21,"1706503"
64,"spotify:track:1u8c2t2Cy7UBoG4ArRcF5g","Taylor Swift","Blank Space","Big Machine Records, LLC",14,66,707,"1699543"
65,"spotify:track:5ixdmTpCmH5diBA1j154wN","Bad Bunny","UN PREVIEW","Rimas Entertainment LLC",3,57,38,"1692002"
66,"spotify:track:25OeKzcqakFPaJlXHPE5lm","Carin Leon","Primera Cita","Socios Music LLC",18,67,129,"1684564"
67,"spotify:track:7aqfrAY2p9BUSiupwk3svU","Drake, J. Cole","First Person Shooter (feat. J. Cole)","OVO/Republic",2,68,28,"1676479"
68,"spotify:track:6WzRpISELf3YglGAh7TXcG","The Weeknd, Playboi Carti, Madonna","Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series","XO / Republic Records",10,71,154,"1673243"
69,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",1,62,336,"1664417"
70,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",70,73,26,"1663846"
71,"spotify:track:3hUxzQpSfdDqwM3ZTFQY0K","Taylor Swift","august","Taylor Swift",4,75,267,"1631150"
72,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,53,1435,"1615190"
73,"spotify:track:1s7oOCT8vauUh01PbJD6ps","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",8,76,434,"1598031"
74,"spotify:track:2ByBBvpR9b7IynvRmnG7kG","Taylor Swift","Clean (Taylor's Version)","Taylor Swift",16,58,7,"1594748"
75,"spotify:track:6XSqqQIy7Lm7SnwxS4NrGx","Feid, Young Miko","Classy 101","UMLE - Latino",6,74,217,"1592297"
76,"spotify:track:2FDTHlrBguDzQkp7PVj16Q","Dave, Central Cee","Sprinter","Neighbourhood / Live Yours",4,83,154,"1587348"
77,"spotify:track:3zSSCPpLZ5Oc8nelhhGjKz","AUR","Tu hai kahan","Sony Music Entertainment",70,70,16,"1586709"
78,"spotify:track:6wsqVwoiVH2kde4k4KKAFU","Travis Scott","I KNOW ?","Cactus Jack/Epic",11,77,98,"1583057"
79,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",4,88,1749,"1581416"
80,"spotify:track:4R2kfaDFhslZEMJqAFNpdd","Taylor Swift","cardigan","Taylor Swift",1,84,333,"1579198"
81,"spotify:track:3pv7Q5v2dpdefwdWIvE7yH","Taylor Swift","Shake It Off (Taylor's Version)","Taylor Swift",11,63,7,"1575009"
82,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,80,434,"1573684"
83,"spotify:track:74X2u8JMVooG2QbjRxXwR8","LE SSERAFIM","Perfect Night","SOURCE MUSIC",83,102,5,"1568406"
