Activity Period,Operating Airline,GEO Summary,GEO Region,Price Category Code,Terminal,Passenger Count
2005-07,ATA Airlines,Domestic,US,Low Fare,Terminal 1,27271
2005-07,ATA Airlines,Domestic,US,Low Fare,Terminal 1,29131
2005-07,ATA Airlines,Domestic,US,Low Fare,Terminal 1,5415
2005-07,Air Canada,International,Canada,Other,Terminal 1,35156
2005-07,Air Canada,International,Canada,Other,Terminal 1,34090
2005-07,Air China,International,Asia,Other,International,6263
2005-07,Air China,International,Asia,Other,International,5500
2005-07,Air France,International,Europe,Other,International,12050
2005-07,Air France,International,Europe,Other,International,11638
2005-07,Air New Zealand,International,Australia / Oceania,Other,International,4998
2005-07,Air New Zealand,International,Australia / Oceania,Other,International,4962
2005-07,AirTran Airways,Domestic,US,Low Fare,International,8055
2005-07,AirTran Airways,Domestic,US,Low Fare,International,7984
2005-07,Alaska Airlines,Domestic,US,Other,International,36641
2005-07,Alaska Airlines,Domestic,US,Other,International,39379
2005-07,Alaska Airlines,Domestic,US,Other,International,3678
2005-07,Alaska Airlines,International,Canada,Other,International,7977
2005-07,Alaska Airlines,International,Canada,Other,International,8837
2005-07,Alaska Airlines,International,Mexico,Other,International,6969
2005-07,Alaska Airlines,International,Mexico,Other,International,10046
2005-07,Alaska Airlines,International,Mexico,Other,International,2266
2005-07,All Nippon Airways,International,Asia,Other,International,6545
2005-07,All Nippon Airways,International,Asia,Other,International,6094
2005-07,American Airlines,Domestic,US,Other,Terminal 3,166577
2005-07,American Airlines,Domestic,US,Other,Terminal 3,160890
2005-07,American Eagle Airlines,Domestic,US,Other,Terminal 3,5493
2005-07,American Eagle Airlines,Domestic,US,Other,Terminal 3,5213
2005-07,Asiana Airlines,International,Asia,Other,International,5041
2005-07,Asiana Airlines,International,Asia,Other,International,4744
2005-07,Atlantic Southeast Airlines,Domestic,US,Other,Terminal 1,1552
2005-07,Atlantic Southeast Airlines,Domestic,US,Other,Terminal 1,1484
2005-07,BelAir Airlines,International,Europe,Other,International,325
2005-07,BelAir Airlines,International,Europe,Other,International,545
2005-07,British Airways,International,Europe,Other,International,20632
2005-07,British Airways,International,Europe,Other,International,21686
2005-07,Cathay Pacific,International,Asia,Other,International,11010
2005-07,Cathay Pacific,International,Asia,Other,International,9628
2005-07,China Airlines,International,Asia,Other,International,13638
2005-07,China Airlines,International,Asia,Other,International,11255
2005-07,Delta Air Lines,Domestic,US,Other,Terminal 1,97510
2005-07,Delta Air Lines,Domestic,US,Other,Terminal 1,93791
2005-07,EVA Airways,International,Asia,Other,International,14142
2005-07,EVA Airways,International,Asia,Other,International,12132
2005-07,Frontier Airlines,Domestic,US,Low Fare,Terminal 1,19234
2005-07,Frontier Airlines,Domestic,US,Low Fare,Terminal 1,18368
2005-07,Hawaiian Airlines,Domestic,US,Other,Terminal 1,7579
2005-07,Hawaiian Airlines,Domestic,US,Other,Terminal 1,7658
2005-07,Horizon Air,Domestic,US,Other,Terminal 1,5284
2005-07,Horizon Air,Domestic,US,Other,Terminal 1,5257
2005-07,Icelandair (Inactive),International,Europe,Other,International,4540
2005-07,Icelandair (Inactive),International,Europe,Other,International,4341
2005-07,Independence Air,Domestic,US,Low Fare,International,10843
2005-07,Independence Air,Domestic,US,Low Fare,International,10967
2005-07,Japan Airlines,International,Asia,Other,International,9195
2005-07,Japan Airlines,International,Asia,Other,International,9086
2005-07,KLM Royal Dutch Airlines,International,Europe,Other,International,9978
2005-07,KLM Royal Dutch Airlines,International,Europe,Other,International,9587
2005-07,Korean Air Lines,International,Asia,Other,International,6153
2005-07,Korean Air Lines,International,Asia,Other,International,5646
2005-07,Lufthansa German Airlines,International,Europe,Other,International,22389
2005-07,Lufthansa German Airlines,International,Europe,Other,International,20511
2005-07,Mesa Airlines,Domestic,US,Other,Terminal 1,2636
2005-07,Mesa Airlines,Domestic,US,Other,Terminal 1,2535
2005-07,Mexicana Airlines,International,Mexico,Other,International,7751
2005-07,Mexicana Airlines,International,Mexico,Other,International,7845
2005-07,Midwest Airlines,Domestic,US,Other,Terminal 1,1797
2005-07,Midwest Airlines,Domestic,US,Other,Terminal 1,3238
2005-07,Northwest Airlines (became Delta),Domestic,US,Other,Terminal 1,64231
2005-07,Northwest Airlines (became Delta),Domestic,US,Other,Terminal 1,62049
2005-07,Northwest Airlines (became Delta),International,Asia,Other,International,7229
2005-07,Northwest Airlines (became Delta),International,Asia,Other,International,6554
2005-07,Philippine Airlines,International,Asia,Other,International,12828
2005-07,Philippine Airlines,International,Asia,Other,International,10269
2005-07,Singapore Airlines,International,Asia,Other,International,19211
2005-07,Singapore Airlines,International,Asia,Other,International,17462
2005-07,SkyWest Airlines,Domestic,US,Other,Terminal 1,7262
2005-07,SkyWest Airlines,Domestic,US,Other,Terminal 1,6586
2005-07,SkyWest Airlines,Domestic,US,Other,Terminal 3,103279
2005-07,SkyWest Airlines,Domestic,US,Other,Terminal 3,102023
2005-07,SkyWest Airlines,International,Canada,Other,Terminal 3,3688
2005-07,SkyWest Airlines,International,Canada,Other,Terminal 3,3633
2005-07,Sun Country Airlines,Domestic,US,Low Fare,Terminal 1,4827
2005-07,Sun Country Airlines,Domestic,US,Low Fare,Terminal 1,4784
2005-07,"TACA International Airlines, S.A.",International,Central America,Other,International,6324
2005-07,"TACA International Airlines, S.A.",International,Central America,Other,International,7031
2005-07,US Airways,Domestic,US,Other,Terminal 1,46042
2005-07,US Airways,Domestic,US,Other,Terminal 1,45553
2005-07,US Airways,Domestic,US,Low Fare,Terminal 1,38951
2005-07,US Airways,Domestic,US,Low Fare,Terminal 1,37848
2005-07,United Airlines,Domestic,US,Other,Terminal 1,62178
2005-07,United Airlines,Domestic,US,Other,Terminal 1,60939
2005-07,United Airlines - Pre 07/01/2013,Domestic,US,Low Fare,Terminal 3,58767
2005-07,United Airlines - Pre 07/01/2013,Domestic,US,Low Fare,Terminal 3,58277
2005-07,United Airlines - Pre 07/01/2013,Domestic,US,Other,Terminal 3,443656
2005-07,United Airlines - Pre 07/01/2013,Domestic,US,Other,Terminal 3,421802
2005-07,United Airlines - Pre 07/01/2013,Domestic,US,Other,Terminal 3,11388
2005-07,United Airlines - Pre 07/01/2013,International,Asia,Other,International,77658
2005-07,United Airlines - Pre 07/01/2013,International,Asia,Other,International,68278
2005-07,United Airlines - Pre 07/01/2013,International,Asia,Other,International,3953
2005-07,United Airlines - Pre 07/01/2013,International,Australia / Oceania,Other,International,8603
2005-07,United Airlines - Pre 07/01/2013,International,Australia / Oceania,Other,International,8234
2005-07,United Airlines - Pre 07/01/2013,International,Australia / Oceania,Other,International,1385
2005-07,United Airlines - Pre 07/01/2013,International,Canada,Other,Terminal 3,12874
2005-07,United Airlines - Pre 07/01/2013,International,Canada,Other,Terminal 3,12085
2005-07,United Airlines - Pre 07/01/2013,International,Canada,Other,Terminal 3,10
2005-07,United Airlines - Pre 07/01/2013,International,Europe,Other,International,30796
2005-07,United Airlines - Pre 07/01/2013,International,Europe,Other,International,29283
2005-07,United Airlines - Pre 07/01/2013,International,Europe,Other,International,888
2005-07,United Airlines - Pre 07/01/2013,International,Mexico,Other,International,9537
2005-07,United Airlines - Pre 07/01/2013,International,Mexico,Other,International,9672
2005-07,United Airlines - Pre 07/01/2013,International,Mexico,Other,International,45
