State,Physical Health mean,Mental Health mean
Alabama,4.1831583649765465,4.401384855930311
Alaska,3.3059006211180124,3.0975155279503106
Arizona,3.801554932449656,3.975146571501402
Arkansas,4.801554641060814,3.8802011888431642
California,3.493350632500811,4.021407719753487
Colorado,2.9674710196356755,3.8319138869174356
Connecticut,2.9796193818329058,3.717775678229181
Delaware,3.5503826530612246,3.8160076530612246
District of Columbia,2.3987366758784052,4.088432688511646
Florida,4.465339322568896,4.1433774432438994
Georgia,4.137106184364061,4.072637106184364
Guam,2.3723739495798317,2.9921218487394956
Hawaii,2.7615903755868545,3.3890845070422535
Idaho,3.5400662897250927,3.6053811659192827
Illinois,2.789491187229797,2.6541403392085137
Indiana,3.834181509754029,4.161294882668929
Iowa,3.073369565217391,3.592514822134387
Kansas,3.149402823018458,3.5890336590662324
Kentucky,5.009551098376313,4.93505253104107
Louisiana,3.971885478462729,4.701315450090276
Maine,3.2923184917769754,3.3877858002406738
Maryland,2.9518744551002616,3.731124673060157
Massachusetts,2.784849001876813,3.7143832110561337
Michigan,3.47941130421168,4.41286989196806
Minnesota,2.8509676395939088,3.6430044416243654
Mississippi,3.653972422849639,3.494747209455023
Missouri,4.033663366336634,4.126732673267327
Montana,3.5089605734767026,3.5614695340501794
Nebraska,2.850727052408361,3.1669948500454406
Nevada,4.286692759295499,4.783268101761252
New Hampshire,3.4737991266375547,3.809315866084425
New Jersey,2.6814952835681845,3.864096890648655
New Mexico,3.7359882005899707,3.7808915109800068
New York,3.1651781917155737,3.763460066343455
North Carolina,3.3522561863173217,3.742773965481389
North Dakota,3.0597649412353087,2.7579394848712178
Ohio,3.6396666354527576,4.2653806536192524
Oklahoma,4.2540208136234625,4.26631977294229
Oregon,3.339162348877375,4.162348877374784
Pennsylvania,3.4382440476190474,4.328621031746032
Puerto Rico,3.497852233676976,3.3470790378006874
Rhode Island,3.38126709206928,3.9856426618049223
South Carolina,3.9895271342430974,4.028562361155188
South Dakota,3.008609893550407,2.618033813400125
Tennessee,3.874787535410765,4.524929178470255
Texas,4.063676362747494,4.384380347103398
Utah,3.1514236410698877,4.226380500431406
Vermont,3.183148246077913,3.8059227921734533
Virginia,3.340729001584786,3.535525620707871
Washington,3.6017947279865394,3.9924284913067862
West Virginia,5.197852202402621,4.854022570076447
Wisconsin,3.382159148504815,3.489609731373543
Wyoming,3.1607100023986567,2.789637802830415
