State,count
Alabama,4477
Alaska,3220
Arizona,7846
Arkansas,4374
California,3083
Colorado,8454
Connecticut,7409
Delaware,3136
District of Columbia,2533
Florida,8237
Georgia,6856
Guam,1904
Hawaii,6816
Idaho,5129
Illinois,3007
Indiana,7074
Iowa,8096
Kansas,9210
Kentucky,3140
Louisiana,3877
Maine,9972
Maryland,11470
Massachusetts,5861
Michigan,6387
Minnesota,12608
Mississippi,6092
Missouri,8080
Montana,5580
Nebraska,13204
Nevada,2044
New Hampshire,5496
New Jersey,8587
New Mexico,6102
New York,11757
North Carolina,4809
North Dakota,3999
Ohio,10679
Oklahoma,4228
Oregon,4632
Pennsylvania,4031
Puerto Rico,4656
Rhode Island,4388
South Carolina,3151
South Dakota,6388
Tennessee,3530
Texas,8182
Utah,9272
Vermont,5673
Virginia,7572
Washington,10698
West Virginia,5494
Wisconsin,3946
Wyoming,4169
